,AUS_fa01,AUS_fa02,AUS_fa03,AUS_fa04,AUS_fa05,AUT_fa01,AUT_fa02,AUT_fa03,AUT_fa04,AUT_fa05,BEL_fa01,BEL_fa02,BEL_fa03,BEL_fa04,BEL_fa05,BGR_fa01,BGR_fa02,BGR_fa03,BGR_fa04,BGR_fa05,BRA_fa01,BRA_fa02,BRA_fa03,BRA_fa04,BRA_fa05,CAN_fa01,CAN_fa02,CAN_fa03,CAN_fa04,CAN_fa05,CHN_fa01,CHN_fa02,CHN_fa03,CHN_fa04,CHN_fa05,CYP_fa01,CYP_fa02,CYP_fa03,CYP_fa04,CYP_fa05,CZE_fa01,CZE_fa02,CZE_fa03,CZE_fa04,CZE_fa05,DEU_fa01,DEU_fa02,DEU_fa03,DEU_fa04,DEU_fa05,DNK_fa01,DNK_fa02,DNK_fa03,DNK_fa04,DNK_fa05,ESP_fa01,ESP_fa02,ESP_fa03,ESP_fa04,ESP_fa05,EST_fa01,EST_fa02,EST_fa03,EST_fa04,EST_fa05,FIN_fa01,FIN_fa02,FIN_fa03,FIN_fa04,FIN_fa05,FRA_fa01,FRA_fa02,FRA_fa03,FRA_fa04,FRA_fa05,GBR_fa01,GBR_fa02,GBR_fa03,GBR_fa04,GBR_fa05,GRC_fa01,GRC_fa02,GRC_fa03,GRC_fa04,GRC_fa05,HUN_fa01,HUN_fa02,HUN_fa03,HUN_fa04,HUN_fa05,IDN_fa01,IDN_fa02,IDN_fa03,IDN_fa04,IDN_fa05,IND_fa01,IND_fa02,IND_fa03,IND_fa04,IND_fa05,IRL_fa01,IRL_fa02,IRL_fa03,IRL_fa04,IRL_fa05,ITA_fa01,ITA_fa02,ITA_fa03,ITA_fa04,ITA_fa05,JPN_fa01,JPN_fa02,JPN_fa03,JPN_fa04,JPN_fa05,KOR_fa01,KOR_fa02,KOR_fa03,KOR_fa04,KOR_fa05,LTU_fa01,LTU_fa02,LTU_fa03,LTU_fa04,LTU_fa05,LUX_fa01,LUX_fa02,LUX_fa03,LUX_fa04,LUX_fa05,LVA_fa01,LVA_fa02,LVA_fa03,LVA_fa04,LVA_fa05,MEX_fa01,MEX_fa02,MEX_fa03,MEX_fa04,MEX_fa05,MLT_fa01,MLT_fa02,MLT_fa03,MLT_fa04,MLT_fa05,NLD_fa01,NLD_fa02,NLD_fa03,NLD_fa04,NLD_fa05,POL_fa01,POL_fa02,POL_fa03,POL_fa04,POL_fa05,PRT_fa01,PRT_fa02,PRT_fa03,PRT_fa04,PRT_fa05,ROM_fa01,ROM_fa02,ROM_fa03,ROM_fa04,ROM_fa05,RUS_fa01,RUS_fa02,RUS_fa03,RUS_fa04,RUS_fa05,SVK_fa01,SVK_fa02,SVK_fa03,SVK_fa04,SVK_fa05,SVN_fa01,SVN_fa02,SVN_fa03,SVN_fa04,SVN_fa05,SWE_fa01,SWE_fa02,SWE_fa03,SWE_fa04,SWE_fa05,TUR_fa01,TUR_fa02,TUR_fa03,TUR_fa04,TUR_fa05,TWN_fa01,TWN_fa02,TWN_fa03,TWN_fa04,TWN_fa05,USA_fa01,USA_fa02,USA_fa03,USA_fa04,USA_fa05,ZRoW_fa01,ZRoW_fa02,ZRoW_fa03,ZRoW_fa04,ZRoW_fa05
AUS_sa01,6675.43573,0,150.34559,1899.64417,930.0701,0.442726779,0,0.024486235,0,0,7.900513856,0,0,0,0,0.001078704,0,2.02181E-05,0,0,0,0,0,0,0,2.955452891,0,0,0,0,65.83860005,0,1.297407106,62.6885368,0,0.000192699,0,0,0,0,0.133397931,0.000202947,0.012754414,0,0,14.19373665,0,0,0,0,0.02956306,0,0.001221925,0,0,3.897097099,0,0,0,0,0.001730767,0,6.06525E-05,0,0,0.136088483,0,0,0,0,5.343925321,0,0,0,0,13.91357452,0,0,0,0,1.407939727,0,0,0,0,0.001022951,0,8.13489E-05,0,0,22.22844872,0,0,2.488065341,0,27.31423335,0,0.254663074,0,0,0.263598521,0,0,0,0,6.594948213,0.003362153,0.061081234,0,0,98.05990598,0,0,0.460887832,0,8.772788323,0,0,0,0,0,0,0,0,0,0.637473376,0,0,0,0,0,0,0,0,0,0.03202702,0,0,0,0,0.015421675,0,0.001830607,0.00023427,0,10.08386194,0,0,0.3335879,0,0.52229985,8.1144E-05,0.010869477,0.000713908,0,0.074178856,0,0,0,0,0.01716495,0,0.000482317,0,0,0.230327408,0,0.004055038,0,0,0.026357687,2.02207E-05,9.05298E-05,0,0,0.010066483,1.01448E-05,0,0,0,0.514009989,0,0,0,0,0.059864791,0,0.00018116,0,0,17.95882167,0,0,0,0,63.03869177,0,0,0,0,114.0819387,0,1.535110681,64.29643126,-0.00063
AUS_sa02,1384.647905,0,75.08723677,1834.186739,-442.6212937,0.030281613,0,0,0.004242588,0,14.20641962,0,1.13865E-06,0.007058148,0,0.005542627,0,0,0.000325928,0,0.001466657,0,0,0.00678581,0,0.218677868,0,0,0.033096092,0,0.165393222,0,0,0.362505663,0,8.6856E-05,0,0,6.08435E-05,0,0.000565836,4.30014E-07,7.38746E-06,0.000396024,0,16.03238968,0,0.0957004,0.263833422,0,0.030137447,0,0,0.011345798,0,0.015917717,0,0,0.018025301,0,0.000125106,3.93462E-06,3.66568E-06,0.000157421,0,0.00142344,0,0,0.00639703,0,0.040705463,0,2.55086E-08,0.029058944,0,0.206618235,0,0,0.063008208,0,0.002425186,0,0,0.010120115,0,1.097217804,0,1.65506E-07,0.000297937,0,0.063686505,0,0,0.032292005,0,0.013321025,0,0.00157669,0.072380125,0,0.002088216,0,0,0.00895484,0,0.034305273,0,0.0001288,0.011278233,0,0.013131933,0,1.2955E-09,0.016687602,0,0.025310275,0,0,0.061068056,0,4.72101E-05,0,0,7.05199E-05,0,4.30483E-05,0,0,0.000115515,0,1.0772E-05,0,0,0.000143832,0,0.003246523,0,0,0.006277412,0,0.000189456,0,0,4.56132E-05,0,0.620025229,0,0.004771684,0.001697373,0,0.006215992,1.83352E-05,0.000395313,0.000442936,0,0.031429748,0,0,0.003093874,0,0.002347923,0,2.66773E-05,0.001304545,0,0.000330982,9.7699E-06,1.43627E-05,0.001012313,0,0.002439589,0,9.27337E-07,0.002636378,0,0.000712276,0,1.7924E-05,0.002255519,0,0.030645087,0,5.22375E-07,0.028085763,0,0.001679597,0,0,0.001468212,0,0.035039308,0,2.6273E-06,0.012740633,0,0.266850519,0,0,0.416911416,0,0.050953076,0,0.000327612,0.099094254,0.000325771
AUS_sa03,22490.13955,0,44.36400431,308.0739761,276.0102406,6.756507851,0,0.080260905,0.007374352,0,17.85478327,0.000190579,0.04763309,0.013291006,0,0.493897772,0,0.001247094,0.00255135,0,1.098925039,0,0,0.012881026,0,303.1667007,0,0,0.080735484,0,215.2273591,0,0.000514684,0.237392134,0,1.421524078,0,6.52422E-06,0.001544239,0,4.478549238,2.71808E-07,0.066676009,0.002004999,0,117.2286093,0.000343059,1.266868916,0.080780594,0,44.22753388,0,0.053255408,0.005811865,0,18.25486508,0,0.443376762,0.022154927,0,0.91925015,1.6413E-06,0.00153608,0.000103711,0,7.628953203,5.64374E-06,0.145457423,0.039930939,0,55.06049132,0,0.756222391,0.039166633,0,908.0826793,6.71946E-05,0,0.128183528,0,5.151789037,0,4.36866E-05,0.015814589,0,2.391038595,0,0.021955851,0.00141876,0,146.8889303,0,0,0.143130115,0,2.580052347,0,0.079525575,0.059695628,0,63.18758762,0.756218072,0,0.006560427,0,4.285640222,6.28707E-07,0.236610948,0.032761541,0,2457.752597,0.148552302,27.68082322,0.095254071,0,636.2229593,0,0,0.075123556,0,0.093382224,0,1.70078E-05,6.52475E-05,0,0.025248738,0,5.45667E-06,0.001452546,0,0.714655742,0,0,0.00073974,0,57.80528366,0,0,0.033285087,0,2.583625057,1.94521E-06,1.49041E-06,0.000230803,0,64.51550946,0,0.262218194,0.017350966,0,3.563815758,0.00117953,0.0225095,0.003208704,0,0.216425935,0.002884611,0.091467357,0.005727314,0,0.470964102,0,4.57686E-06,0.000672037,0,19.94160647,4.07544E-06,0.000553965,0.01179655,0,0.221986765,0,0.018279114,0.000566968,0,0.155871114,1.00387E-07,0.00523872,0.007420308,0,24.40821466,0,0.133356668,0.016911282,0,1.741036215,0,0.08971675,0.011050142,0,284.6235398,0,1.77826E-05,0.035972081,0,1781.017029,0,0,0.403909509,0,2281.269434,0,0.414520098,2.562290891,0.005516927
AUS_sa04,1375.802164,0,6.555548589,289.8284439,-49.72969695,0.895044747,0,0.004823084,0.027481949,0,0.992042818,5.75665E-05,0.001185444,0.031860056,0,0.140847217,0,1.49383E-05,0.006110515,0,0.097190667,0,0,0.058659833,0,18.94608503,0,0,0.30377723,0,181.8331731,0,0,0.606542439,0,0.103932748,0,0,0.004899255,0,1.562151235,7.04719E-08,0.017731136,0.008982195,0,26.58213683,0,0.070757541,0.459787807,0,0.891140917,0,0.007943143,0.041836166,0,1.867085822,0,0.009224198,0.102900737,0,0.044080866,3.0795E-07,3.94848E-05,0.001133942,0,0.503679233,0,0.002362014,0.014788423,0,7.544764298,0,0.050320799,0.107937564,0,86.03375441,0,0,0.825123013,0,0.753429288,0,0,0.014435692,0,14.97893742,0,0.000515984,0.001354363,0,8.848388594,0,0,0.282333213,0,2.983164194,0,0.223283486,0.239377721,0,2.019275714,0.000391175,0,0.012426581,0,7.859045806,1.385E-06,0.002814399,0.114182217,0,40.34541726,7.67223E-05,0.01439582,0.651718037,0,12.40937386,0,0,0.238872589,0,0.166891269,0,5.24066E-05,0.000393117,0,0.196131739,6.74462E-07,0.000121605,0.002535502,0,0.012861863,0,0,0.001305865,0,0.481816183,0,1.65972E-05,0.05848122,0,0.01179917,2.31296E-08,3.23347E-05,0.000419307,0,1.495159418,0,0.010673305,0.065847935,0,0.765526386,0.000955763,0.003973434,0.042069198,0,0.07836352,3.42996E-05,0.001091398,0.014447992,0,0.472395051,0,1.04897E-06,0.003495858,0,5.026831108,7.64659E-07,0.001265448,0.025759352,0,0.315321813,0,0.001396568,0.004984658,0,1.124478134,0,0.001393851,0.00145281,0,5.148486027,0,0.002984053,0.047836102,0,2.201003542,0,0.066856228,0.033989933,0,11.67846864,0,4.69246E-06,0.086756352,0,229.4151191,0,0,2.436808295,0,74.19063217,0,0.083608228,0.473264591,0.000281469
AUS_sa05,354.797958,0,1.690573926,74.74224409,-12.82451473,0.230818096,0,0.001243797,0.007087163,0,0.25583239,1.48455E-05,0.000305707,0.00821621,0,0.036322304,0,3.85236E-06,0.001575806,0,0.025063958,0,0,0.015127451,0,4.885900225,0,0,0.078339382,0,46.89194326,0,0,0.1564178,0,0.026802636,0,0,0.001263441,0,0.402854473,1.81736E-08,0.004572584,0.002316366,0,6.855119053,0,0.01824725,0.118572048,0,0.229811357,0,0.002048411,0.010788887,0,0.481492336,0,0.002378776,0.026536476,0,0.011367769,7.94158E-08,1.01825E-05,0.000292426,0,0.129891029,0,0.000609127,0.003813702,0,1.945677172,0,0.012976938,0.027835402,0,22.18676516,0,0,0.212786328,0,0.194297678,0,0,0.003722739,0,3.862834718,0,0.000133064,0.000349269,0,2.281861594,0,0,0.072809327,0,0.769311576,0,0.057581332,0.061731764,0,0.520739754,0.000100878,0,0.00320462,0,2.026725504,3.57171E-07,0.00072579,0.029445794,0,10.40445468,1.97855E-05,0.003712458,0.16806785,0,3.200184244,0,0,0.061601499,0,0.04303866,0,1.35148E-05,0.000101379,0,0.050579321,1.73933E-07,3.13601E-05,0.000653866,0,0.003316874,0,0,0.000336762,0,0.124252889,0,4.28017E-06,0.015081392,0,0.003042822,5.96476E-09,8.33861E-06,0.000108133,0,0.385578324,0,0.002752477,0.016981152,0,0.197417333,0.000246476,0.001024687,0.010848982,0,0.020208729,8.84533E-06,0.000281455,0.003725909,0,0.121823327,0,2.70514E-07,0.000901527,0,1.296341432,1.97194E-07,0.000326339,0.006642933,0,0.081316586,0,0.000360153,0.001285465,0,0.2899854,0,0.000359452,0.000374657,0,1.327714357,0,0.00076954,0.012336177,0,0.56760453,0,0.01724118,0.008765469,0,3.011695157,0,1.21011E-06,0.022373099,0,59.16258628,0,0,0.628414486,0,19.13260876,0,0.02156126,0.122047534,8.54806E-05
AUS_sa06,288.764907,0,6.078625995,143.2040537,-165.8635807,0.102652243,0,0.007702924,0.016594439,0,0.096079489,1.66808E-05,0.004634997,0.057253266,0,0.014378643,0,0.000121826,0.004146801,0,0.040827169,0,0,0.022647667,0,1.133193704,0,0,0.422922458,0,1.855897448,0,0,0.470226983,0,0.012572623,0,0,0.003390808,0,0.015350832,5.33612E-08,0.006414991,0.003407989,0,0.688361547,0,0.094664814,0.162283059,0,0.026210352,0,0.002035165,0.008952866,0,0.238738611,0,0.043725364,0.048675117,0,0.001618219,4.88255E-07,0.000105658,0.000975211,0,0.030535562,0,0.014198633,0.008960696,0,0.450673368,0,0.073917909,0.094352445,0,2.416557117,0,0,0.266110149,0,0.043735729,0,0,0.01108652,0,0.004137219,0,0.002144654,0.001171046,0,0.346311004,0,0,0.272737959,0,0.244832795,0,0.046675552,0.681774253,0,0.059424757,7.73753E-05,0,0.007195504,0,0.282762064,6.48154E-06,0.023110332,0.06043264,0,1.870782135,1.51453E-05,0.002992378,0.207248996,0,0.463644925,0,0,0.134642179,0,0.001992157,0,1.66149E-06,0.000267444,0,0.002054778,0,5.3306E-07,0.002675439,0,0.000568504,0,0,0.001337772,0,0.038474761,0,0,0.058149788,0,0.003413882,1.90027E-07,0.000189385,0.000453712,0,0.140420268,0,0.025657647,0.050292491,0,0.023388171,3.20582E-05,0.002108882,0.008811118,0,0.04855463,0.000281797,0.008935417,0.011286938,0,0.017306838,0,4.16476E-07,0.001031812,0,0.785859872,1.21236E-06,0.003835378,0.019783323,0,0.006426689,0,0.001784821,0.001407745,0,0.011579684,0,0.000514107,0.001560133,0,0.065001205,0,0.011267067,0.025246506,0,0.13176552,0,0.008267074,0.020290217,0,0.666037355,0,1.96036E-06,0.061733359,0,10.18280716,0,0,1.129353076,0,4.748435189,0,0.072413372,2.186725957,-0.000347563
AUS_sa07,5613.683246,0,23.14445378,1118.48628,301.7007368,0.188381825,0,0.048918417,0.015493648,0,0.361487549,9.77274E-05,0.027153365,0.029516293,0,0.018371589,0,0.000803114,0.002475121,0,0.244750863,0,0,0.014178855,0,3.314348375,0,0,0.190134299,0,6.055068504,0,0,0.591385671,0,0.039736475,0,0,0.002421691,0,0.106529299,3.00096E-05,0.037876328,0.002210309,0,3.610481491,0,0.547319449,0.122783373,0,0.412327773,0,0.011342718,0.036804553,0,0.498251831,0,0.253768235,0.024698304,0,0.016690169,9.50762E-07,0.000616849,0.000377546,0,0.281303378,0,0.083181641,0.014351866,0,1.884311027,0,0.432916079,0.04436763,0,23.02821826,0,0,0.396088027,0,0.153764445,0,0,0.011134497,0,0.043680043,0,0.012774298,0.000831237,0,1.762076174,0,0,0.137995197,0,0.993949862,0,0.397527849,0.204007591,0,0.939897803,4.30065E-07,0,0.010789116,0,0.51022488,7.11175E-05,0.135390053,0.031675312,0,2.480261818,0,0.00020916,0.219819663,0,15.7960577,0,0,0.099363289,0,0.014774056,0,9.73408E-06,5.49334E-05,0,0.01493656,0.000547865,0.000262896,0.001326661,0,0.011885475,0,0,0.000831215,0,0.253218794,0,0.013481916,0.032403459,0,0.016378123,1.1133E-06,0.000201573,0.000287939,0,1.384033369,0,0.14966746,0.029152717,0,0.161818523,6.10049E-05,0.012567715,0.008333848,0,0.167248376,0.001650953,0.052349585,0.005643534,0,0.091558936,0,0.000697332,0.001360885,0,0.481868567,2.3608E-06,0.001013584,0.012302417,0,0.062245778,0,0.010564306,0.001762867,0,0.0158318,0,0.002975211,0.00276773,0,0.342190711,0,0.06570719,0.019842309,0,0.784464394,0,0.048324551,0.011650842,0,5.0984483,0,0.002998765,0.035186461,0,49.78045043,0,0,0.854324516,0,56.70085822,0,2.386092566,5.74641142,-0.001291776
AUS_sa08,4855.136223,0,14.66076144,160.049243,383.6998377,0.038397618,0,0.022154387,0.008213511,0,0.029200348,4.79766E-05,0.01333062,0.019331484,0,0.003120676,0,0.000350389,0.004151526,0,0.110418157,0,0,0.021055175,0,15.08430899,0,0,0.126436611,0,3.572783415,0,0,0.392551867,0,0.018000025,0,0,0.002440904,0,0.025981336,4.90913E-08,0.01839954,0.002987701,0,62.35513128,0,0.369609823,0.119240883,0,0.014806461,0,0.005509077,0.005108023,0,0.1662058,0,0.124575781,0.035854115,0,0.00120239,4.49185E-07,0.000302814,0.000168373,0,0.073841447,0,0.040835558,0.011460022,0,43.22702698,0,0.212247631,0.0638871,0,3.605197479,0,0,0.195530837,0,0.034536266,0,0,0.009862396,0,0.007714949,0,0.006168251,0.0008313,0,1.139305065,0,0,0.233621178,0,0.096968461,0,0.012202187,0.089728303,0,0.090837968,7.24466E-07,0,0.005672369,0,0.136308728,0,0.066471165,0.050366166,0,66.52641585,0,3.69308E-06,0.148406136,0,3.37492784,0,0,0.121529498,0,6.62878E-05,0,4.77868E-06,2.58186E-05,0,0.000881024,0,1.53316E-06,0.002358269,0,0.000396299,0,0,0.001205406,0,0.067617809,0,0,0.054346262,0,0.003984766,5.46547E-07,0,0.00039443,0,0.168907648,0,0.073698469,0.02474764,0,0.030890598,2.20651E-05,0.00589282,0.005703264,0,0.059118363,0.000810491,0.025699617,0.004864509,0,0.002659761,0,1.77952E-06,0.00094511,0,0.029039353,1.11535E-06,7.93945E-06,0.019304257,0,0.007588011,0,0.005133017,0.000896853,0,0.003353564,0,0.001460755,0.001847567,0,0.058946055,0,0.03197463,0.022836246,0,0.361556993,0,0.02360413,0.018034453,0,2.123846236,0,3.48979E-06,0.051176624,0,24.32976044,0,0,0.653221561,0,52.67910671,0,0.128229952,8.512942473,-0.00011353
AUS_sa09,3326.12638,0,740.8690013,378.5483277,403.7164365,2.704043577,0,1.765224488,0.050817497,0,1.924600419,0.003847807,1.061207224,0.047883091,0,0.106538242,0,0.027886113,0.008697533,0,8.761207759,0,0,0.055761194,0,55.7456393,0,0,0.359556458,0,123.9668607,0,3.8019E-05,0.777182414,0,1.297935505,0,0,0.005818862,0,2.04062469,4.14436E-07,1.464670342,0.008604057,0,32.24795412,0,21.40285924,0.322890192,0,1.095522247,0,0.441807209,0.034330573,0,12.10264373,0,9.916598998,0.103051399,0,0.093977876,3.68258E-06,0.024083132,0.000818591,0,5.693493135,0,3.249933324,0.020534623,0,22.2589101,0,16.91375816,0.139420186,0,170.5354157,4.96357E-06,0,0.437117209,0,2.462228685,0,0,0.019271599,0,0.65239765,0,0.491029727,0.001750212,0,13.95835926,0,0,0.445334646,0,6.750531499,0,0.905233187,0.322174989,0,6.466721564,0.001361047,0,0.012861706,0,10.53386775,1.71945E-06,5.289434942,0.126457596,0,52.54608483,0.000267104,0.050371213,0.426942256,0,62.23880252,0,0,0.278031351,0,0.008531778,0,0.000408079,0.000223117,0,0.003091543,9.41696E-08,0.000186528,0.004507973,0,0.025651477,0,0,0.002264231,0,5.190927044,0,2.31733E-06,0.100753741,0,0.235948675,4.34975E-05,4.22493E-05,0.000977449,0,13.01705106,0,5.838520338,0.063052629,0,2.341688459,0.001622109,0.466251986,0.024621735,0,4.704566731,0.064503771,2.045333617,0.014948322,0,0.078728742,0,2.89764E-06,0.00303455,0,1.812149611,9.14406E-06,0.001525983,0.037985566,0,0.606645044,0,0.409101783,0.002866647,0,0.256574569,6.98472E-09,0.114505551,0.00293053,0,4.567171947,0,2.546301524,0.055067625,0,28.589316,0,1.877268668,0.041296772,0,115.802374,0,4.90543E-06,0.113565587,0,227.9042566,0,0,2.144060528,0,411.8422852,0,2.327713015,4.464428029,-0.000233223
AUS_sa10,1166.590578,0,14.92221573,505.322469,69.37778734,0.23219169,0,0.027098182,0.063065101,0,0.116243935,7.65013E-05,0.01565652,0.09990002,0,0.012999181,0,0.000405367,0.016780866,0,0.318638984,0,0,0.180184941,0,2.4475818,0,0,0.737953665,0,7.437571447,0,0,2.487438315,0,0.043276164,0,0,0.011449317,0,0.052407761,2.56374E-08,0.021596567,0.014188077,0,2.366949171,0,0.334192034,0.889086532,0,0.17693845,0,0.009698036,0.039142326,0,1.280485797,0,0.149862513,0.185779781,0,0.013496208,2.34582E-07,0.000360424,0.001712923,0,0.109286337,0,0.047243395,0.023623235,0,1.132788433,0,0.262435695,0.553573942,0,7.64448105,0,0,0.978311724,0,0.212293651,0,0,0.046797198,0,0.021494307,0,0.007232241,0.006049724,0,2.513700043,0,0,1.0867458,0,0.620424319,0,0.044552964,0.99873997,0,0.196843224,0.000557034,0,0.030574876,0,0.64327408,1.29607E-06,0.076892299,0.303234426,0,4.664566617,0.000109343,0.028814681,0.769806814,0,1.911873497,0,0,0.830164704,0,0.007115091,0,2.52657E-05,0.002749299,0,0.009344504,0,4.76043E-05,0.009001487,0,0.001510763,0,0,0.004830137,0,0.430304365,0,0,0.217799595,0,0.007977914,6.32302E-07,0.000331881,0.005361809,0,0.727258555,0,0.088139669,0.212977378,0,0.14205461,6.82039E-05,0.006850757,0.049647907,0,0.113105517,0.00093766,0.029733441,0.024620917,0,0.020704451,0,4.12698E-07,0.006284284,0,0.305159285,5.8248E-07,0.000822217,0.08188035,0,0.034821425,0,0.006383808,0.010122022,0,0.008298463,0,0.001749052,0.004453617,0,0.454536279,0,0.059427273,0.146681919,0,0.457179529,0,0.027570833,0.098659474,0,2.38626868,0,1.61861E-06,0.260117931,0,15.89181527,0,0,5.360605064,0,55.21102413,0,0.215487145,23.99574027,0.000173864
