"","V1"
"AUS",6016.39142376847
"AUT",2884.3831090325
"BEL",3713.0995394822
"BGR",2582.75110513042
"BRA",15521.3909605972
"CAN",8658.3830689936
"CHN",250630.647386235
"CYP",317.256051849253
"CZE",2132.69867179286
"DEU",24479.6149871411
"DNK",1883.36077126212
"ESP",10727.4682090024
"EST",295.750091438535
"FIN",1417.1662285566
"FRA",13529.8403728391
"GBR",21368.3076781753
"GRC",3817.95810570771
"HUN",2277.79052882956
"IDN",24539.4490861634
"IND",112385.146136212
"IRL",1258.40839632628
"ITA",15394.6162063262
"JPN",47508.7886386411
"KOR",13785.5703297957
"LTU",840.194522543813
"LUX",215.792114251126
"LVA",351.99750768067
"MEX",11968.3342392817
"NLD",6954.48663679352
"POL",6624.52285462248
"PRT",2772.91960317461
"ROM",7709.35850286772
"RUS",35311.4169694621
"SVK",792.460405366323
"SVN",381.437591158835
"SWE",2395.24094551377
"TUR",19612.4275378382
"USA",110182.728483839
"ZRoW",213981.538084166
