,2004
AUS,1394.582529
AUT,1575.339997
BEL,1954.667751
BGR,3720.648218
BRA,15855.58888
CAN,4304.696151
CHN,328281.1497
CYP,206.4807151
CZE,1920.751659
DEU,10708.05409
DNK,823.9463206
ESP,6114.251129
EST,196.1245952
FIN,388.7934354
FRA,4943.479432
GBR,12223.94965
GRC,2725.609236
HUN,2152.765062
IDN,30524.13334
IND,127212.1185
IRL,134.7633477
ITA,7894.975866
JPN,29605.00445
KOR,8869.346245
LTU,810.0926187
LUX,11.25831126
LVA,292.9801966
MEX,10233.74626
NLD,3403.035873
POL,7027.720433
PRT,2402.478037
ROM,9633.495234
RUS,46200.98505
SVK,518.4100747
SVN,238.9477663
SWE,659.3508883
TUR,20166.08632
USA,56849.12222
ZROW,245042.1635
