"","X","AUS","AUT","BEL","BGR","BRA","CAN","CHN","CYP","CZE","DEU","DNK","ESP","EST","FIN","FRA","GBR","GRC","HUN","IND","IRL","ITA","JPN","LTU","LUX","LVA","MEX","MLT","NLD","POL","PRT","ROM","RUS","SVK","SVN","SWE","USA","RoW"
"1","0","58286","   33","   70","   9","   109","   298"," 3400","   3","   22","   385","   39","   133","   3","   59","   225","   464","   29","   15"," 388","  56","   201"," 2504","   3","   6","   2","   105","   1","  108","   50","    16","  23","  143","  11","    6","   61","  1632","  5243"
"2","AUT","0","58126","  632"," 198","   338","   462"," 2433","  22","  852","  8438","  255","  1036","  25","  223","  1578","  1443","  331"," 1094"," 272"," 199","  2767","  678","  57","  65","  76","   247","  28","  595","  869","   160"," 835","  817"," 421","  465","  388","  2818","  9188"
"3","BEL","  297","0","47198","  75","   506","   444"," 1757","  61","  322","  6500","  608","  1817","  32","  319","  5666","  3978","  582","  299"," 792"," 363","  2766","  559","  70"," 688","  43","   231","  16"," 3718","  729","   365"," 253","  754"," 140","   76","  947","  3111","  7436"
"4","BGR","    7","   46","0","2443","    12","    16","   44","   7","   11","   163","    8","    35","   1","    5","    66","    75","  113","   11","  10","  11","   100","   19","   3","   2","   2","     5","   1","   23","   29","     4","  85","   57","   7","    9","   12","    76","   573"
"5","BRA","  313","  253","  535","0","280512","   763"," 4386","  16","  102","  3060","  243","   860","  11","  159","  1363","  1177","  168","   64"," 289"," 115","  1322"," 1388","  15","  22","   9","   975","   6"," 1024","  193","   431"," 113","  690","  42","   33","  586","  6689"," 15603"
"6","CAN","  840","  179","  462","  27","0","183675"," 4257","  13","  100","  1767","  221","   662","  12","  224","  1207","  2461","  133","   84"," 573"," 239","   722"," 2506","  21","  84","  11","  1781","   4","  552","  228","   155"," 125","  518","  35","   35","  243"," 44695"," 10090"
"7","CHN","  636","  143","  208","  33","   420","0","53833","  23","  154","  1638","  134","   723","  13","  118","   900","   999","  125","  101"," 769"," 129","   724"," 2478","  16","  21","   9","   557","   6","  470","  278","    64","  76","  726","  60","   25","  175","  6544"," 10682"
"8","CYP","    2","    3","    5","   2","     7","     2","0","1742","    2","    30","    3","     4","   1","    1","     6","    31","   40","    4","   2","   1","     8","   11","   1","   0","   3","     1","   0","    4","    6","     1","   5","   35","   2","    0","    4","    14","   119"
"9","CZE","  151"," 1536","  703"," 162","   181","   204","  974","0","35849","  8114","  279","   887","  33","  225","  1982","  2053","  183","  769"," 240"," 149","  1769","  343","  83","  40","  58","   153","   7","  648"," 1664","   152"," 496"," 1110","1588","  143","  507","  1431","  6406"
"10","DEU"," 3386","14889","10912","1135","  4674","  4984","29596"," 286","0","658751"," 5826"," 17490"," 365"," 3340"," 30316"," 24212"," 3763"," 5284","3755","2304"," 24214"," 8556"," 767","1261"," 542","  4080"," 122","13603","11436","  3143","3519","10755","2799"," 1218"," 6817"," 38182"," 99911"
