,AUS,AUT,BEL,BGR,BRA,CAN,CHN,CYP,CZE,DEU,DNK,ESP,EST,FIN,FRA,GBR,GRC,HUN,IDN,IND,IRL,ITA,JPN,KOR,LTU,LUX,LVA,MEX,NLD,POL,PRT,ROM,RUS,SVK,SVN,SWE,TUR,USA,RoW,,
AUS,0,0,1,0,2,4,51,0,0,6,1,2,0,1,3,7,0,0,4,6,1,3,38,13,0,0,0,2,2,1,0,0,2,0,0,1,1,24,60, 236 ,
AUT,4,0,7,2,4,5,28,0,10,97,3,12,0,3,18,17,4,13,2,3,2,32,8,4,1,1,1,3,7,10,2,10,9,5,5,4,6,33,94, 469 ,
BEL,4,6,0,1,6,6,22,1,4,81,8,23,0,4,71,50,7,4,2,10,5,35,7,4,1,9,1,3,46,9,5,3,9,2,1,12,5,39,80, 586 ,
BGR,6,43,62,0,12,15,38,7,10,156,8,33,1,4,63,72,108,11,5,9,11,95,17,13,3,2,2,5,22,28,4,81,55,6,8,11,98,70,440," 1,634 ",
BRA,18,15,31,2,0,44,255,1,6,178,14,50,1,9,80,69,10,4,12,17,7,77,81,34,1,1,1,57,60,11,25,6,40,2,2,34,16,391,835," 2,497 ",
CAN,7,1,4,0,9,0,33,0,1,14,2,5,0,2,9,19,1,1,2,5,2,6,20,6,0,1,0,14,4,2,1,1,4,0,0,2,2,350,68, 598 ,
CHN,3271,736,1068,166,2167,4258,0,116,789,8416,688,3709,69,606,4621,5127,643,519,1745,3958,664,3717,12761,6004,80,108,48,2876,2417,1427,329,382,3732,310,129,899,1464,33698,45354," 159,071 ",
CYP,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,9, 26 ,
CZE,3,30,14,3,4,4,19,0,0,156,5,17,1,4,38,40,4,15,1,5,3,34,7,4,2,1,1,3,13,32,3,10,21,31,3,10,7,28,110, 686 ,
DEU,29,127,93,10,40,43,253,2,60,0,50,150,3,29,260,207,32,45,14,33,20,208,74,45,7,11,5,35,117,98,27,30,92,24,10,58,46,329,746," 3,462 ",
DNK,4,2,4,0,3,4,19,0,2,35,0,9,0,5,11,19,2,1,2,3,2,10,10,4,1,0,1,2,7,6,2,1,5,1,0,28,3,28,113, 349 ,
ESP,8,10,28,3,11,11,36,1,8,109,10,0,1,5,159,86,15,6,2,6,11,93,16,7,1,2,1,18,26,18,84,7,22,3,3,12,15,74,247," 1,175 ",
EST,0,1,1,0,0,1,2,0,0,6,2,3,0,11,2,2,0,0,0,0,0,2,1,0,4,0,6,0,1,2,0,0,6,0,0,7,0,4,13, 77 ,
FIN,2,2,3,0,4,2,13,0,1,18,4,6,2,0,7,10,2,1,1,4,1,7,5,2,1,0,1,1,5,4,1,1,8,0,0,13,2,15,44, 193 ,
