"","AUS","AUT","BEL","BGR","BRA","CAN","CHN","CYP","CZE","DEU","DNK","ESP","EST","FIN","FRA","GBR","GRC","HUN","IDN","IND","IRL","ITA","JPN","KOR","LTU","LUX","LVA","MEX","MLT","NLD","POL","PRT","ROM","RUS","SVK","SVN","SWE","TUR","TWN","USA","ZRoW"
"AUS_sa01",12859.2276,0.365102896,3.046529474,0.140932041,0.015077262,3.542444352,123.003190712,0.022545809,0.089855649,27.85980336,0.020400539,9.705505974,0.005893122,0.037517222,8.872026844,14.94943454,0.112177774,0.014489055,12.05238686,63.807880876,0.141649666,5.416211228,77.587617799,2.523520381,0,0.155314839,0.000198392,0.024511574,0.003876299,13.857308056,0.615228948,0.1755731498,0.033971886,10.314620507,0.283966163,0.0271659454,0.484672693,10.064436295,16.370232825,79.91293317,211.153824118
"AUS_sa02",3874.3153772,0.02262732,9.92936932206,0.006052784,0.03086356,0.259359067,2.163449946,0.000505201,0.001404235203,16.016164682,0.046618913,0.151810044,0.001019937033,0.003293994,0.1279129486747,0.555601732,0.029255881,0.00219888179,0.10160161,0.08893938,13.383400785,0.3753245377,0.091685291787492,0.143651039,0.0005540825771,9.50256e-05,7.340705e-05,0.040421941,0.000836713,0.120869221,0.03548117,0.005433633,0.0038858294,0.0044783388,0.00244429427,0.00258329417,0.04146069336,0.009579236,0.0235553994,0.644303356,0.262188101
"AUS_sa03",31373.24941007,6.644687881,31.381082789,1.63368553,2.483761864,436.13341096,680.76505113,0.54917618876,4.401980933,111.746645942,60.297572678,6.967593773,1.755369198901,16.200623954,49.680053138,807.003505301,1.990817839,0.175621156,200.245237977,10.386947857,31.457189374,16.741271161919,2228.128451553,557.910067235,0.0204749002,0.0079262332,1.215827308,39.845961703,2.93530296237,99.131643063,5.403829781,0.085987728,1.73606189809,217.3312726466,1.445558504,0.399678753358,30.352646858,3.272649194,215.777961269,1428.518789163,5082.636241838
"AUS_sa04",2333.96380238,1.898835835,3.7398398191,0.0990216592,0.374014223,53.571550675,36.903435286,0.138380903,0.892118559,24.394653538,0.746555883,4.272941736,0.1034083230913,0.983165464,13.112864918,86.842708609,1.349899798,0.144555665,23.73571285,13.218726743,2.937131462,5.25277971221,28.3640253087,9.347138202,0.076477744,0.15538021185,0.0307366285205,8.2392686127,0.0930988924272,8.147411317,3.873363785,0.20473794936,0.819835982419,116.75581885101,4.81033147958,0.3744582006493,4.208466078,2.177652213,8.3809650725,152.233451988,148.240579069
"AUS_sa05",601.892898043,0.541753651,1.06700740096,0.0282516966,0.1067093165,15.284408882,10.528857259,0.039481224,0.254528845,6.959997611,0.212998605,1.2191058,0.0295032555909,0.280505289,3.74120934,24.776947015,0.385137641,0.041242926,6.771996259,3.77141263,0.8379880391,1.49866172765,8.0924923521,2.666816303,0.0218197352,0.044331264924,0.00876941614281,2.3507318453,0.02656188936052,2.32452422,1.105103027,0.05841343734,0.233906022335,33.311406051208,1.372427763223,0.1068360374535,1.200710399,0.621302281,2.39115931329,43.433469213,25.6710462238
"AUS_sa06",263.270722445,0.065803329,0.1231581625,0.035676335,0.132052516,1.519567939,2.36345417,0.019833076,0.03799892356,1.109138865,0.047137351,0.229220402,0.0087715163363,0.04144451,0.664611846,1.404952277,0.051426827,0.011589061,0.983728433,1.506348914,0.0808476004,0.3438175523,1.3039200821,0.922729819,0.0004399644,0.0003349016,0.001276048,0.269152671,0.004849652051,0.249088154,0.0915874823,0.028372354,0.005248852038,0.26279594314,0.01255452416,0.037571777,0.105424946,0.194269625,0.5874273799,10.818673882,8.010593852
"AUS_sa07",8460.01331791,0.285557009,0.6433866853,0.114695945,0.436839725,4.107582762,7.478930454,0.037327152,0.317477414,9.21365159,0.372909585,1.760188373,0.128429607078,0.197779424,4.696003742,17.246249211,0.253371459,0.041829064,1.202706639,1.005226229,0.864602699953,0.8324407971,2.7236909802,7.948532665,0.0167649825,0.011981877,0.02194981969,0.943725916,0.02814386041,1.61711407,0.483405204,0.147841346,0.05152172,1.01984875484,0.06879435692,0.0415571858,0.406761918,1.444803677,6.166457436,47.469971567,87.305628315
"AUS_sa08",5954.43996843,0.052930281,0.1450865448,0.034628906,0.22976036,16.190145425,5.703501281,0.016275288,0.102232693239,117.193543692,4.457188646,0.399789668,0.0051939403523,0.091120506,10.935723638,1.066927193,0.108402442,0.013330048,1.353391156,0.399459373,0.157456095548,0.409151674,173.90558247972,19.989111923,0.0003246629,0.00018338576,0.000738503,0.523953904,0.007947123038,0.470213507,0.1689908783,0.035145478,0.00578145407,0.20427281426,0.02870721121,0.009949015,0.123354085,0.575145199,18.3105385264,11.422727218,129.6002908
"AUS_sa09",6556.1879046,2.231924441,8.867699899,0.660567528,9.863679599,51.4388061,257.613827518,0.980795895,7.49178622,161.059620476,2.831428718,24.798777182,0.34938097477,6.111549409,82.090101636,58.7692962252,7.508755986,0.853707551,18.004767406,14.012202241,11.399575762,24.79262121942,87.138553446,138.053113661,0.013798529,0.00506373256,0.01405549097147,17.16064528645,0.4815461827,24.06531894,11.854298501,1.062473433,0.26962841462,4.0399567523,1.807336949,0.62299313328715,5.033120627,41.06206871,136.7152063442,473.630056486,514.862864345
"AUS_sa10",2323.96900839,0.333485882,0.4906509446,0.187762937,1.105703952,4.904157296,19.50490198,0.118340398,0.169455415,6.160077574,0.341433185,1.192758036,0.0624056787878,0.374055143,2.563039576,7.261365278,0.307927737,0.037953693,6.411094972,2.542717932,0.536423813,1.2916451024,5.2925069551,4.654904297,0.011040917,0.009060549,0.005424405,2.390145029,0.031710540491,2.377029517,0.314276599,0.137695926,0.08371220918,1.27011895318,0.05939286442,0.049865613,0.777613911,0.960388851,2.8113831377,29.842394405,123.105525466
