"","V1"
"AUS",75717.9849691032
"AUT",86181.3301333724
"BEL",81888.3762980051
"BGR",6432.10365648381
"BRA",302162.150683547
"CAN",221896.138758163
"CHN",177518.580588818
"CYP",3096.81783730002
"CZE",51731.2919460063
"DEU",785571.115890363
"DNK",45433.7677778394
"ESP",710636.290224663
"EST",3410.44087913222
"FIN",47802.2466595103
"FRA",656023.514798574
"GBR",210381.224277691
"GRC",28272.4139165818
"HUN",24664.7743920905
"IND",26291.1835101192
"IRL",15504.8300048475
"ITA",463673.874940754
"JPN",155473.108038422
"LTU",4818.08882257761
"LUX",6814.14483615172
"LVA",3062.95786892426
"MEX",422647.276464177
"MLT",2833.33449396743
"NLD",68384.0096828481
"POL",95271.4934469498
"PRT",149904.099256219
"ROM",16038.8522162713
"RUS",78252.8853353547
"SVK",14403.8222849286
"SVN",26187.9038264519
"SWE",39872.1327743446
"USA",1236194.41122284
"ZRoW",839763.027286606
