raCode,raName,rbCode,rbName
ra01,AUS,ra01,AUS
ra02,AUT,ra02,AUT
ra03,BEL,ra03,BEL
ra04,BGR,ra04,BGR
ra05,BRA,ra05,BRA
ra06,CAN,ra06,CAN
ra07,CHN,ra07,CHN
ra08,CYP,ra08,CYP
ra09,CZE,ra09,CZE
ra10,DEU,ra10,DEU
ra11,DNK,ra11,DNK
ra12,ESP,ra12,ESP
ra13,EST,ra13,EST
ra14,FIN,ra14,FIN
ra15,FRA,ra15,FRA
ra16,GBR,ra16,GBR
ra17,GRC,ra17,GRC
ra18,HUN,ra18,HUN
ra19,IDN,ra19,IDN
ra20,IND,ra20,IND
ra21,IRL,ra21,IRL
ra22,ITA,ra22,ITA
ra23,JPN,ra23,JPN
ra24,KOR,ra24,KOR
ra25,LTU,ra25,LTU
ra26,LUX,ra26,LUX
ra27,LVA,ra27,LVA
ra28,MEX,ra28,MEX
ra29,MLT,ra41,ZRoW
ra30,NLD,ra30,NLD
ra31,POL,ra31,POL
ra32,PRT,ra32,PRT
ra33,ROM,ra33,ROM
ra34,RUS,ra34,RUS
ra35,SVK,ra35,SVK
ra36,SVN,ra36,SVN
ra37,SWE,ra37,SWE
ra38,TUR,ra38,TUR
ra39,TWN,ra07,CHN
ra40,USA,ra40,USA
ra41,ZRoW,ra41,ZRoW
