saCode,saName,sbCode,sbName
sa01,"Agriculture, Hunting, Forestry and Fishing",sb01,Total
sa02,Mining and Quarrying,sb01,Total
sa03,"Food, Beverages and Tobacco",sb01,Total
sa04,Textiles and Textile Products,sb01,Total
sa05,"Leather, Leather and Footwear",sb01,Total
sa06,Wood and Products of Wood and Cork,sb01,Total
sa07,"Pulp, Paper, Paper , Printing and Publishing",sb01,Total
sa08,"Coke, Refined Petroleum and Nuclear Fuel",sb01,Total
sa09,Chemicals and Chemical Products,sb01,Total
sa10,Rubber and Plastics,sb01,Total
sa11,Other Non-Metallic Mineral,sb01,Total
sa12,Basic Metals and Fabricated Metal,sb01,Total
sa13,"Machinery, Nec",sb01,Total
sa14,Electrical and Optical Equipment,sb01,Total
sa15,Transport Equipment,sb01,Total
sa16,"Manufacturing, Nec; Recycling",sb01,Total
sa17,"Electricity, Gas and Water Supply",sb01,Total
sa18,Construction,sb01,Total
sa19,"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel",sb01,Total
sa20,"Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles",sb01,Total
sa21,"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods",sb01,Total
sa22,Hotels and Restaurants,sb01,Total
sa23,Inland Transport,sb01,Total
sa24,Water Transport,sb01,Total
sa25,Air Transport,sb01,Total
sa26,Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies,sb01,Total
sa27,Post and Telecommunications,sb01,Total
sa28,Financial Intermediation,sb01,Total
sa29,Real Estate Activities,sb01,Total
sa30,Renting of M&Eq and Other Business Activities,sb01,Total
sa31,Public Admin and Defence; Compulsory Social Security,sb01,Total
sa32,Education,sb01,Total
sa33,Health and Social Work,sb01,Total
sa34,"Other Community, Social and Personal Services",sb01,Total
sa35,Private Households with Employed Persons,sb01,Total
